,Neighbourhood,City,Country
0,Charlottenburg-Wilmersdorf,Berlin,Germany
1,Friedrichshain-Kreuzberg,Berlin,Germany
2,Lichtenberg,Berlin,Germany
3,Marzahn-Hellersdorf,Berlin,Germany
4,Mitte,Berlin,Germany
5,Neukölln,Berlin,Germany
6,Pankow,Berlin,Germany
7,Reinickendorf,Berlin,Germany
8,Spandau,Berlin,Germany
9,Steglitz-Zehlendorf,Berlin,Germany
10,Tempelhof-Schöneberg,Berlin,Germany
11,Treptow-Köpenick,Berlin,Germany
0,Anders Park,Alberta,Canada
1,Anders Park East,Alberta,Canada
2,Anders South,Alberta,Canada
3,Aspen Ridge,Alberta,Canada
4,Bower,Alberta,Canada
5,Bower Ponds Recreation Area,Alberta,Canada
6,Central Park,Alberta,Canada
7,Chiles Industrial Park,Alberta,Canada
8,Clearview Extension,Alberta,Canada
9,Clearview Meadows,Alberta,Canada
10,Clearview Ridge,Alberta,Canada
11,College Park,Alberta,Canada
12,Davenport,Alberta,Canada
13,Deer Park Estates,Alberta,Canada
14,Deer Park Village,Alberta,Canada
15,Devonshire,Alberta,Canada
16,Downtown,Alberta,Canada
17,East Burnt Lake,Alberta,Canada
18,Eastview,Alberta,Canada
19,Eastview Estates,Alberta,Canada
20,Edgar Industrial Park,Alberta,Canada
21,Evergreen,Alberta,Canada
22,Fairview,Alberta,Canada
23,Gaetz Lakes Sanctuary,Alberta,Canada
24,Garden Heights,Alberta,Canada
25,Glendale,Alberta,Canada
26,Glendale Park Estates,Alberta,Canada
27,Golden West,Alberta,Canada
28,Grandview,Alberta,Canada
29,Heritage Ranch,Alberta,Canada
30,Highland Green,Alberta,Canada
31,Highland Green Estates,Alberta,Canada
32,Inglewood,Alberta,Canada
33,Ironstone,Alberta,Canada
34,Johnstone Crossing,Alberta,Canada
35,Johnstone Park,Alberta,Canada
36,Kentwood East,Alberta,Canada
37,Kentwood West,Alberta,Canada
38,Kingsgate,Alberta,Canada
39,Lancaster Green,Alberta,Canada
40,Lancaster Meadows,Alberta,Canada
41,Laredo,Alberta,Canada
42,Lonsdale,Alberta,Canada
43,Maskepetoon Park,Alberta,Canada
44,McKenzie Trail Recreation Area,Alberta,Canada
45,Michener Hill,Alberta,Canada
46,Morrisroe,Alberta,Canada
47,Morrisroe Extension,Alberta,Canada
48,Mountview,Alberta,Canada
49,Normandeau,Alberta,Canada
50,Northlands Industrial Park,Alberta,Canada
51,Oriole Park,Alberta,Canada
52,Oriole Park West,Alberta,Canada
53,Parkvale,Alberta,Canada
54,Pines,Alberta,Canada
55,Queens Business Park,Alberta,Canada
56,Red Deer College,Alberta,Canada
57,Red Deer Golf and Country Club,Alberta,Canada
58,Riverlands,Alberta,Canada
59,Riverside Heavy Industrial Park,Alberta,Canada
60,Riverside Light Industrial Park,Alberta,Canada
61,Riverside Meadows,Alberta,Canada
62,Rosedale Estates,Alberta,Canada
63,Rosedale Meadows,Alberta,Canada
64,South Hill,Alberta,Canada
65,Southbrook,Alberta,Canada
66,Southpointe Junction,Alberta,Canada
67,Sunnybrook,Alberta,Canada
68,Sunnybrook Extension,Alberta,Canada
69,Three Mile Bend Recreation Area,Alberta,Canada
70,Timber Ridge,Alberta,Canada
71,Timberlands,Alberta,Canada
72,Timberstone,Alberta,Canada
73,Vanier Woods,Alberta,Canada
74,Vanier Woods East,Alberta,Canada
75,Waskasoo,Alberta,Canada
76,Waste Management Facility,Alberta,Canada
77,West Burnt Lake,Alberta,Canada
78,West Park,Alberta,Canada
79,West QE2,Alberta,Canada
80,Westerner Park,Alberta,Canada
81,Westlake,Alberta,Canada
82,Woodlea,Alberta,Canada
0,U.S. NAVAL BASE,New Orleans,United States
1,ALGIERS POINT,New Orleans,United States
2,WHITNEY,New Orleans,United States
3,AUDUBON,New Orleans,United States
4,OLD AURORA,New Orleans,United States
5,B. W. COOPER,New Orleans,United States
6,BAYOU ST. JOHN,New Orleans,United States
7,BEHRMAN,New Orleans,United States
8,BLACK PEARL,New Orleans,United States
9,BROADMOOR,New Orleans,United States
10,MARLYVILLE - FONTAINEBLEAU,New Orleans,United States
11,GERT TOWN,New Orleans,United States
12,MID-CITY,New Orleans,United States
13,ST. CLAUDE,New Orleans,United States
14,CENTRAL BUSINESS DISTRICT,New Orleans,United States
15,FRENCH QUARTER,New Orleans,United States
16,CENTRAL CITY,New Orleans,United States
17,LAKE CATHERINE,New Orleans,United States
18,VILLAGE DE LEST,New Orleans,United States
19,VIAVANT - VENETIAN ISLES,New Orleans,United States
20,NEW AURORA - ENGLISH TURN,New Orleans,United States
