Neighbourhood,City,Country,Latitude,Longitude
Charlottenburg-Wilmersdorf,Berlin,Germany,52.5078558,13.2639518
Friedrichshain-Kreuzberg,Berlin,Germany,52.5011154,13.4442848
Lichtenberg,Berlin,Germany,52.5321606,13.5118927
Marzahn-Hellersdorf,Berlin,Germany,52.5225225,13.5876634
Mitte,Berlin,Germany,52.5178855,13.4040601
Neukölln,Berlin,Germany,52.4811497,13.4353501
Pankow,Berlin,Germany,52.5979174,13.435316
Reinickendorf,Berlin,Germany,52.6047631,13.2952872
Spandau,Berlin,Germany,52.535788,13.1977924
Steglitz-Zehlendorf,Berlin,Germany,52.4292052,13.2299741
Tempelhof-Schöneberg,Berlin,Germany,52.4404422,13.38828872350066
Treptow-Köpenick,Berlin,Germany,52.417893,13.6001848
Anders Park,Alberta,Canada,52.2474233,-113.7833343868671
Aspen Ridge,Alberta,Canada,52.2382769,-113.77087407527756
Bower,Alberta,Canada,52.24037425,-113.81273306719862
Bower Ponds Recreation Area,Alberta,Canada,52.2688,-113.8314
Central Park,Alberta,Canada,50.02954255,-110.68186132462576
Clearview Ridge,Alberta,Canada,47.5298986,-52.8744254
College Park,Alberta,Canada,55.1710619,-118.81116834887015
Davenport,Alberta,Canada,53.5522749,-113.2585866
Devonshire,Alberta,Canada,53.4488638,-113.56682236102054
Downtown,Alberta,Canada,53.5414274,-113.500434
Eastview,Alberta,Canada,53.38757185,-113.52403756635763
Eastview Estates,Alberta,Canada,53.38757185,-113.52403756635763
Edgar Industrial Park,Alberta,Canada,52.30896485,-113.84309114313756
Evergreen,Alberta,Canada,53.6323394,-113.350682
Fairview,Alberta,Canada,56.0334402,-118.3818241
Gaetz Lakes Sanctuary,Alberta,Canada,52.2849,-113.7954
Garden Heights,Alberta,Canada,53.52378445,-113.1293638760216
Glendale,Alberta,Canada,51.034096,-114.1522951
Golden West,Alberta,Canada,52.2907919,-113.8468668
Grandview,Alberta,Canada,52.99198,-114.058143
Heritage Ranch,Alberta,Canada,52.2703967,-113.85365567406788
Highland Green,Alberta,Canada,50.5936694,-113.889174
Inglewood,Alberta,Canada,53.5644581,-113.540708
Ironstone,Alberta,Canada,53.53187765,-114.00020724660794
Kentwood West,Alberta,Canada,51.03657655,-114.087487093712
Kingsgate,Alberta,Canada,53.46012755,-113.39621921739132
Lancaster Green,Alberta,Canada,50.998656,-114.1304941
Lancaster Meadows,Alberta,Canada,45.3986334,-75.6107363
Laredo,Alberta,Canada,52.816871,-128.74440596746703
Maskepetoon Park,Alberta,Canada,53.46058755,-113.5137289
Morrisroe Extension,Alberta,Canada,52.2558,-113.7777
Mountview,Alberta,Canada,55.181499200000005,-118.77918885778664
Normandeau,Alberta,Canada,54.580556,-111.731667
Oriole Park,Alberta,Canada,52.2715866,-113.8464177
Parkvale,Alberta,Canada,44.6408571,-63.7132251
Pines,Alberta,Canada,50.9624723,-114.5738719
Queens Business Park,Alberta,Canada,52.2994142,-113.86756874431674
Red Deer College,Alberta,Canada,52.2463626,-113.83431459123666
Red Deer Golf and Country Club,Alberta,Canada,52.2635,-113.84
Riverlands,Alberta,Canada,50.87419,-113.9837266
Riverside Heavy Industrial Park,Alberta,Canada,52.3080066,-113.79329655113683
Rosedale Estates,Alberta,Canada,53.54252150000001,-113.51131954864
Southbrook,Alberta,Canada,52.234571,-113.7913369
Sunnybrook,Alberta,Canada,53.1939082,-114.2000839
Three Mile Bend Recreation Area,Alberta,Canada,52.3019,-113.7817
Timber Ridge,Alberta,Canada,51.18051235,-114.26397812305729
Timberlands,Alberta,Canada,52.2753058,-113.74931278721974
Timberstone,Alberta,Canada,52.2758062,-113.756136
Vanier Woods,Alberta,Canada,52.23127535,-113.75365490034184
Waskasoo,Alberta,Canada,52.21965535,-113.8174250434918
Waste Management Facility,Alberta,Canada,53.264393350000006,-113.47586704925313
West Burnt Lake,Alberta,Canada,44.8901837,-64.30368072678813
West Park,Alberta,Canada,53.01337635,-112.86735163194916
Westerner Park,Alberta,Canada,52.2270819,-113.8068761428047
Westlake,Alberta,Canada,55.2245338,-118.8126004
Woodlea,Alberta,Canada,45.3205386,-75.78500059820267
U.S. NAVAL BASE,New Orleans,United States,41.34363695,-72.09348643841241
ALGIERS POINT,New Orleans,United States,29.95251,-90.0517746
WHITNEY,New Orleans,United States,29.9692573,-90.05151248529518
AUDUBON,New Orleans,United States,29.9222962,-90.13067671260173
OLD AURORA,New Orleans,United States,38.9297545,-111.928811
B. W. COOPER,New Orleans,United States,34.165842,-94.311735
BAYOU ST. JOHN,New Orleans,United States,30.0022094,-90.0835398
BEHRMAN,New Orleans,United States,29.9484703,-90.05010732692998
BLACK PEARL,New Orleans,United States,29.9394952,-90.1317272
BROADMOOR,New Orleans,United States,29.9483048,-90.1042348
MARLYVILLE - FONTAINEBLEAU,New Orleans,United States,29.9523,-90.1132
GERT TOWN,New Orleans,United States,42.7216108,-73.8273267
MID-CITY,New Orleans,United States,29.9687042,-90.0928987
ST. CLAUDE,New Orleans,United States,35.1081103,-101.362741
CENTRAL BUSINESS DISTRICT,New Orleans,United States,39.101681150000005,-84.50808279152703
FRENCH QUARTER,New Orleans,United States,29.9595056,-90.0655668
CENTRAL CITY,New Orleans,United States,42.2039609,-91.5243615
LAKE CATHERINE,New Orleans,United States,30.1143647,-89.7092255
VIAVANT - VENETIAN ISLES,New Orleans,United States,30.0178,-89.9395
