Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Anders Park,52.2474233,-113.7833343868671,Red Boar Smokery,52.25093066836068,-113.79357141880054,BBQ Joint
Anders Park,52.2474233,-113.7833343868671,Mac's,52.2514602,-113.7734948,Convenience Store
Anders Park,52.2474233,-113.7833343868671,Japanese Delight,52.25189897128495,-113.77299600919058,Japanese Restaurant
Anders Park,52.2474233,-113.7833343868671,Arnz Contracting & Custom Painting,52.255005,-113.775562,Retail
Aspen Ridge,52.2382769,-113.77087407527756,State & Main Kitchen & Bar,52.239262122792205,-113.76830101023393,Restaurant
Aspen Ridge,52.2382769,-113.77087407527756,Save-On-Foods,52.23886496673346,-113.76935274915013,Grocery Store
Aspen Ridge,52.2382769,-113.77087407527756,Tim Hortons,52.23810423694108,-113.76749262213707,Coffee Shop
Aspen Ridge,52.2382769,-113.77087407527756,McDonald's,52.238066958219896,-113.7683362403651,Fast Food Restaurant
Aspen Ridge,52.2382769,-113.77087407527756,Fas Gas,52.2361497691731,-113.77361038911866,Fuel Station
Aspen Ridge,52.2382769,-113.77087407527756,Mac's,52.2381158,-113.7653069,Convenience Store
Bower,52.24037425,-113.81273306719862,Bo's Bar & Grill,52.241371094147595,-113.81484409300184,Pub
Bower,52.24037425,-113.81273306719862,Chapters,52.23932443401373,-113.81501270317266,Bookstore
Bower,52.24037425,-113.81273306719862,Earls,52.23775953148793,-113.81284949033954,New American Restaurant
Bower,52.24037425,-113.81273306719862,Starbucks,52.239885,-113.816809,Coffee Shop
Bower,52.24037425,-113.81273306719862,Second Cup Café,52.2335313,-113.8146333,Café
Bower,52.24037425,-113.81273306719862,Fionn MacCool's Red Deer,52.23406358264258,-113.81299234879569,Irish Pub
Bower,52.24037425,-113.81273306719862,Tony Roma's,52.239641139826844,-113.81893090674589,Steakhouse
Bower,52.24037425,-113.81273306719862,Sobeys,52.23838657735048,-113.81633683104475,Grocery Store
Bower,52.24037425,-113.81273306719862,Starbucks,52.244899,-113.81356,Coffee Shop
Bower,52.24037425,-113.81273306719862,Holiday Inn Express Red Deer,52.24536086066736,-113.81260103076636,Inn
Bower,52.24037425,-113.81273306719862,Tim Hortons,52.23858221204997,-113.81490468978882,Coffee Shop
Bower,52.24037425,-113.81273306719862,Subway,52.24251938,-113.8091354,Sandwich Spot
Bower,52.24037425,-113.81273306719862,H&M,52.24253082,-113.8079071,Clothing Store
Bower,52.24037425,-113.81273306719862,Shoppers Drug Mart (Beauty Boutique by Shoppers Drug Mart),52.242621,-113.809755,Pharmacy
Bower,52.24037425,-113.81273306719862,Montana's,52.23426937293919,-113.81455314976029,Restaurant
Bower,52.24037425,-113.81273306719862,Wok Box,52.238941521246275,-113.81733944181642,Asian Restaurant
Bower,52.24037425,-113.81273306719862,Wendy’s,52.24256628473982,-113.8150571398811,Fast Food Restaurant
Bower,52.24037425,-113.81273306719862,Toad n' Turtle,52.23430908748943,-113.81807734160115,Pub
Bower,52.24037425,-113.81273306719862,Bower Place Shopping Centre,52.2424408173412,-113.80910841202251,Shopping Mall
Bower,52.24037425,-113.81273306719862,Michaels,52.24039354319735,-113.81800156841564,Arts and Crafts Store
Bower,52.24037425,-113.81273306719862,Lowe's,52.2360725,-113.8227005,Hardware Store
Bower,52.24037425,-113.81273306719862,Moxie's Classic Grill,52.247032091879056,-113.81513570757693,New American Restaurant
Bower,52.24037425,-113.81273306719862,"Toys""R""Us",52.243261,-113.8095,Toy Store
Bower,52.24037425,-113.81273306719862,Five Guys,52.23647834211776,-113.81577587273352,Burger Joint
Bower,52.24037425,-113.81273306719862,Dairy Queen,52.234611248836316,-113.81302043795586,Ice Cream Parlor
Bower,52.24037425,-113.81273306719862,London Drugs,52.233886476681846,-113.81649251641012,Pharmacy
Bower,52.24037425,-113.81273306719862,McDonald's,52.24305474369945,-113.81499365548268,Fast Food Restaurant
Bower,52.24037425,-113.81273306719862,Black Knight Inn,52.247236,-113.813522,Hotel
Bower,52.24037425,-113.81273306719862,East Side Mario's Red Deer,52.234989844076615,-113.8146683911973,Restaurant
Bower,52.24037425,-113.81273306719862,A&W,52.233874,-113.814613,Fast Food Restaurant
Bower,52.24037425,-113.81273306719862,Old Navy,52.232404061553225,-113.81647785941766,Clothing Store
Bower,52.24037425,-113.81273306719862,Petland,52.23986852710424,-113.81663461270222,Pet Supplies Store
Bower,52.24037425,-113.81273306719862,Zellers,52.24356284863014,-113.80780041045996,Department Store
Bower,52.24037425,-113.81273306719862,Walmart,52.23592570466968,-113.81798833102305,Big Box Store
Bower,52.24037425,-113.81273306719862,Mark's,52.23494009145807,-113.81936175605132,Clothing Store
Bower,52.24037425,-113.81273306719862,Menchies,52.2342459736896,-113.81789021489146,Ice Cream Parlor
Bower,52.24037425,-113.81273306719862,Alberta Motor Association - AMA,52.24773794312024,-113.80970924327954,Automotive Repair Shop
Bower,52.24037425,-113.81273306719862,Days Inn Red Deer,52.233411,-113.81965776,Inn
Bower Ponds Recreation Area,52.2688,-113.8314,Bower Ponds,52.268584299866134,-113.83184548792215,Other Great Outdoors
Bower Ponds Recreation Area,52.2688,-113.8314,Starbucks,52.27214,-113.829058,Coffee Shop
Bower Ponds Recreation Area,52.2688,-113.8314,Famoso Neapolitan Pizzeria,52.26912908525835,-113.81872415542603,Pizzeria
Bower Ponds Recreation Area,52.2688,-113.8314,Carnival Cinemas,52.266919674801755,-113.82189444223337,Indie Movie Theater
Bower Ponds Recreation Area,52.2688,-113.8314,Real Canadian Superstore,52.270165,-113.81726,Grocery Store
