Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Fort Trumbull State Park,41.34373202428809,-72.09385124324206,State or Provincial Park
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Captain Scott's Lobster Dock,41.3477735117824,-72.09778857920206,Seafood Restaurant
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Sweetie's Bakery & Cafe,41.352108222756996,-72.09614565270064,Cupcake Shop
U.S. NAVAL BASE,41.34363695,-72.09348643841241,City Pier,41.35177248192293,-72.0952630103403,Scenic Lookout
U.S. NAVAL BASE,41.34363695,-72.09348643841241,The Neon Chicken,41.347134814533426,-72.10027844380646,Southern Food Restaurant
U.S. NAVAL BASE,41.34363695,-72.09348643841241,The Social Bar + Kitchen,41.35184114015015,-72.09637464910698,Gastropub
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Chaplin's,41.352339430522626,-72.09577726561565,Seafood Restaurant
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Mambo Bar & Restaurant,41.35194413643772,-72.0961005704679,Caribbean Restaurant
U.S. NAVAL BASE,41.34363695,-72.09348643841241,SUBWAY,41.34471719484537,-72.09387438701967,Sandwich Spot
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Jasmine Thai,41.35020802481375,-72.10082463941036,Thai Restaurant
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Fat Boy's,41.3520281540455,-72.09605220146418,New American Restaurant
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Custom House Maritime Museum,41.352395668866976,-72.09528036809029,History Museum
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Stash's Cafe,41.33906874240344,-72.1000696327784,Rock Club
U.S. NAVAL BASE,41.34363695,-72.09348643841241,US Coast Guard Barque Eagle,41.34499766390016,-72.09084832263923,Boat or Ferry
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Orient Point/New London Ferry,41.35025024484649,-72.0918550855656,Boat or Ferry
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Crocker's Boatyard,41.34836959838867,-72.10041809082031,Harbor or Marina
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Honey Bee Farms Market,41.350968,-72.0976,Restaurant
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Blu-Prints Unlimited Inc,41.349936,-72.100494,Print Store
U.S. NAVAL BASE,41.34363695,-72.09348643841241,MV Susan Anne,41.350832513359386,-72.08797845078843,Boat or Ferry
U.S. NAVAL BASE,41.34363695,-72.09348643841241,Cross Sound Ferry,41.338410292449126,-72.08424641832431,Boat or Ferry
ALGIERS POINT,29.95251,-90.0517746,The Crown & Anchor,29.951415606075695,-90.05422018989196,Bar
ALGIERS POINT,29.95251,-90.0517746,Old Point Bar,29.954939824140773,-90.05022582198879,Bar
ALGIERS POINT,29.95251,-90.0517746,Tout de Suite Café,29.95212113610269,-90.05108964349343,Café
ALGIERS POINT,29.95251,-90.0517746,Levee @ Algiers Point,29.951759762967576,-90.04874667308133,Scenic Lookout
ALGIERS POINT,29.95251,-90.0517746,The Dry Dock Cafe & Bar,29.95205260343439,-90.05476916532432,Bar
ALGIERS POINT,29.95251,-90.0517746,Wednesdays on the Point,29.954158872136983,-90.05447310138359,Music Venue
ALGIERS POINT,29.95251,-90.0517746,John's Seafood,29.947295,-90.052572,Seafood Restaurant
ALGIERS POINT,29.95251,-90.0517746,Tavolino Pizza & Lounge,29.95205271806017,-90.05459718859133,Pizzeria
ALGIERS POINT,29.95251,-90.0517746,Rosetree Blown Glass Studio,29.951071999999996,-90.048804,Arts and Crafts Store
ALGIERS POINT,29.95251,-90.0517746,Algiers Point,29.95140982220646,-90.05220687597131,Historic and Protected Site
ALGIERS POINT,29.95251,-90.0517746,Barracuda,29.953232,-90.05126,Taco Restaurant
ALGIERS POINT,29.95251,-90.0517746,Tonti’s Hand,29.952633,-90.051201,Brasserie
ALGIERS POINT,29.95251,-90.0517746,McDonough Park,29.9515,-90.0511,Park
ALGIERS POINT,29.95251,-90.0517746,"Kupcakes, Etc.",29.953053000000004,-90.051013,Cupcake Shop
ALGIERS POINT,29.95251,-90.0517746,Faubourg Fresh Market,29.951139,-90.051511,Grocery Store
ALGIERS POINT,29.95251,-90.0517746,The Mardi Gras School of Cooking and Catering,29.953671999999997,-90.053026,Food and Beverage Retail
ALGIERS POINT,29.95251,-90.0517746,Confetti Park,29.952918285121342,-90.05129039230826,Park
ALGIERS POINT,29.95251,-90.0517746,Beatrixbell Handcrafted Jewelry & Gift,29.95454413112597,-90.05281805992126,Gift Store
ALGIERS POINT,29.95251,-90.0517746,The Appetite Repair Shop,29.95213925776952,-90.04902435492204,New American Restaurant
ALGIERS POINT,29.95251,-90.0517746,Algiers Point,29.951800757793716,-90.04876903516691,Neighborhood
ALGIERS POINT,29.95251,-90.0517746,"Belleville Street & Opelousas Ave., 70114",29.951730274881996,-90.04875702913172,Intersection
ALGIERS POINT,29.95251,-90.0517746,Mighty Mississippi Riverbend @ Algier's Point,29.954025,-90.05564,Scenic Lookout
ALGIERS POINT,29.95251,-90.0517746,Opelousas Corner Store,29.94849967956543,-90.05042266845703,Wings Joint
ALGIERS POINT,29.95251,-90.0517746,Doux Point Spa,29.954573999999997,-90.046464,Spa
ALGIERS POINT,29.95251,-90.0517746,Blackstar,29.947506,-90.04807,Coffee Shop
ALGIERS POINT,29.95251,-90.0517746,The Mississippi River,29.948412656910744,-90.05876669258475,River
ALGIERS POINT,29.95251,-90.0517746,Plume Algiers,29.944096,-90.05219,Indian Restaurant
WHITNEY,29.9692573,-90.05151248529518,St. Roch Market,29.96913487418847,-90.05218110740763,Food Court
WHITNEY,29.9692573,-90.05151248529518,St. Coffee,29.968473,-90.048751,Café
WHITNEY,29.9692573,-90.05151248529518,New Orleans Food Co-op,29.96828008349928,-90.05245090390036,Grocery Store
WHITNEY,29.9692573,-90.05151248529518,Who Dat Coffee Cafe,29.966837162487508,-90.05429251360007,Coffee Shop
WHITNEY,29.9692573,-90.05151248529518,Faubourg Wines,29.968650248062307,-90.04800986198077,Wine Store
WHITNEY,29.9692573,-90.05151248529518,The Elysian Bar,29.966883,-90.054955,Hotel Bar
WHITNEY,29.9692573,-90.05151248529518,Hi-Ho Lounge,29.968889948069346,-90.05553876096319,Music Venue
WHITNEY,29.9692573,-90.05151248529518,Morrow’s,29.968703,-90.05114,Cajun and Creole Restaurant
WHITNEY,29.9692573,-90.05151248529518,Hotel Peter & Paul,29.96679934740141,-90.05495645023517,Hotel
WHITNEY,29.9692573,-90.05151248529518,The Franklin,29.965713943678075,-90.05107073854245,American Restaurant
WHITNEY,29.9692573,-90.05151248529518,Byrdie's,29.968673,-90.051488,Coffee Shop
WHITNEY,29.9692573,-90.05151248529518,Arabella Casa di Pasta,29.96868829996634,-90.05511754099554,Italian Restaurant
WHITNEY,29.9692573,-90.05151248529518,Artisan Bar and Cafe,29.968728999999996,-90.050567,American Restaurant
WHITNEY,29.9692573,-90.05151248529518,St. Roch Tavern,29.969921749952075,-90.05248655460531,Bar
WHITNEY,29.9692573,-90.05151248529518,Phoenix Bar,29.967517682245386,-90.0564570121984,Gay Bar
WHITNEY,29.9692573,-90.05151248529518,ALLways Lounge,29.96854,-90.055638,Lounge
WHITNEY,29.9692573,-90.05151248529518,N7,29.96849981097048,-90.04579958747885,Restaurant
WHITNEY,29.9692573,-90.05151248529518,Fry and Pie,29.969072646127586,-90.05550147419126,American Restaurant
WHITNEY,29.9692573,-90.05151248529518,Cafe Istanbul,29.96834768204684,-90.05228047532853,Performing Arts Venue
WHITNEY,29.9692573,-90.05151248529518,Coast Roast Coffee & Tea,29.969298812960727,-90.052195371823,Coffee Shop
WHITNEY,29.9692573,-90.05151248529518,#StudioBE,29.964188,-90.047831,Art Gallery
WHITNEY,29.9692573,-90.05151248529518,Kajun's Pub,29.968676520250487,-90.05515684231378,Karaoke Bar
WHITNEY,29.9692573,-90.05151248529518,Flora Cafe,29.964806293909607,-90.0513577452438,Café
WHITNEY,29.9692573,-90.05151248529518,Anna's,29.964863,-90.05135,Dive Bar
WHITNEY,29.9692573,-90.05151248529518,Mayhaw Bar,29.969331764772257,-90.0522111629356,Cocktail Bar
WHITNEY,29.9692573,-90.05151248529518,Freezy Street,29.969094000000002,-90.049204,Ice Cream Parlor
WHITNEY,29.9692573,-90.05151248529518,Marie's Bar,29.966886253063993,-90.0520857165419,Bar
WHITNEY,29.9692573,-90.05151248529518,Silk Road Restaurant & Wine Bar,29.964924298082913,-90.0518408340426,Asian Restaurant
WHITNEY,29.9692573,-90.05151248529518,SukhoThai,29.9644905,-90.05617319999999,Thai Restaurant
WHITNEY,29.9692573,-90.05151248529518,Paladar 511,29.962812428815877,-90.05498413352558,Italian Restaurant
WHITNEY,29.9692573,-90.05151248529518,Bywater American Bistro,29.962952411932022,-90.04808549747848,Bistro
WHITNEY,29.9692573,-90.05151248529518,Saint-Germain,29.967463000000002,-90.044696,French Restaurant
WHITNEY,29.9692573,-90.05151248529518,The Spotted Cat Music Club,29.964020428479234,-90.0576900778783,Jazz and Blues Venue
WHITNEY,29.9692573,-90.05151248529518,Marigny Opera House,29.965107323838843,-90.04914701142438,Opera House
WHITNEY,29.9692573,-90.05151248529518,Fair Grinds Coffeehouse,29.969040000000003,-90.056033,Coffee Shop
WHITNEY,29.9692573,-90.05151248529518,New Orleans Center for Creative Arts,29.962816142791045,-90.0494276735444,Education
WHITNEY,29.9692573,-90.05151248529518,Ruby Slipper,29.96645850741917,-90.05903267755677,Breakfast Spot
WHITNEY,29.9692573,-90.05151248529518,Junction,29.96812513795041,-90.04541481307665,Burger Joint
WHITNEY,29.9692573,-90.05151248529518,Red's Chinese,29.967779937705743,-90.04481321609438,Chinese Restaurant
WHITNEY,29.9692573,-90.05151248529518,d.b.a.,29.96395682534415,-90.05790860182175,Jazz and Blues Venue
WHITNEY,29.9692573,-90.05151248529518,Frenchmen Art Market,29.96395755438372,-90.05770411535336,Public Art
WHITNEY,29.9692573,-90.05151248529518,Sugar Park,29.967471192296006,-90.04470512716311,Pizzeria
WHITNEY,29.9692573,-90.05151248529518,Horn's,29.965358485314557,-90.0591249756931,American Restaurant
WHITNEY,29.9692573,-90.05151248529518,Elysian Seafood,29.969284994415947,-90.0522093898788,Seafood Restaurant
