Neighbourhood,City,Country,Latitude,Longitude
Charlottenburg-Wilmersdorf,Berlin,Germany,52.5078558,13.2639518
Friedrichshain-Kreuzberg,Berlin,Germany,52.5011154,13.4442848
Lichtenberg,Berlin,Germany,52.5321606,13.5118927
Marzahn-Hellersdorf,Berlin,Germany,52.5225225,13.5876634
Mitte,Berlin,Germany,52.5178855,13.4040601
Neukölln,Berlin,Germany,52.4811497,13.4353501
Pankow,Berlin,Germany,52.5979174,13.435316
Reinickendorf,Berlin,Germany,52.6047631,13.2952872
Spandau,Berlin,Germany,52.535788,13.1977924
Steglitz-Zehlendorf,Berlin,Germany,52.4292052,13.2299741
Tempelhof-Schöneberg,Berlin,Germany,52.4404422,13.388288723500661
Treptow-Köpenick,Berlin,Germany,52.417893,13.6001848
Anders Park,Alberta,Canada,52.2474233,-113.7833343868671
Anders South,Alberta,Canada,53.2165798,6.5968342
Aspen Ridge,Alberta,Canada,52.2382769,-113.77087407527756
Bower,Alberta,Canada,52.24037425,-113.81273306719862
Bower Ponds Recreation Area,Alberta,Canada,52.2688,-113.8314
Central Park,Alberta,Canada,50.02954255,-110.68186132462577
Clearview Extension,Alberta,Canada,40.6374206,-80.06520561382794
Clearview Meadows,Alberta,Canada,44.42721985,-80.09508624311499
Clearview Ridge,Alberta,Canada,47.5298986,-52.8744254
College Park,Alberta,Canada,55.1710619,-118.81116834887015
Davenport,Alberta,Canada,53.5522749,-113.2585866
Deer Park Estates,Alberta,Canada,43.182807,-79.5305904
Deer Park Village,Alberta,Canada,49.2433101,-123.0031696
Devonshire,Alberta,Canada,53.4488638,-113.56682236102054
Downtown,Alberta,Canada,53.5414274,-113.500434
East Burnt Lake,Alberta,Canada,42.1302964,-120.1995728
Eastview,Alberta,Canada,53.38757185,-113.52403756635763
Eastview Estates,Alberta,Canada,53.38757185,-113.52403756635763
Edgar Industrial Park,Alberta,Canada,52.308964849999995,-113.84309114313757
Evergreen,Alberta,Canada,53.6323394,-113.350682
Fairview,Alberta,Canada,56.0334402,-118.3818241
Gaetz Lakes Sanctuary,Alberta,Canada,52.2849,-113.7954
Garden Heights,Alberta,Canada,53.52378445,-113.12936387602161
Glendale,Alberta,Canada,51.034096,-114.1522951
Glendale Park Estates,Alberta,Canada,33.5399262,-112.24182025956823
Golden West,Alberta,Canada,52.2907919,-113.8468668
Grandview,Alberta,Canada,52.99198,-114.058143
Heritage Ranch,Alberta,Canada,52.2703967,-113.85365567406788
Highland Green,Alberta,Canada,50.5936694,-113.889174
Highland Green Estates,Alberta,Canada,30.532227,-91.103417
Inglewood,Alberta,Canada,53.5644581,-113.540708
Ironstone,Alberta,Canada,53.53187765,-114.00020724660794
Johnstone Crossing,Alberta,Canada,-27.6159465,152.7473888
Johnstone Park,Alberta,Canada,43.702106,-79.80893430879999
Kentwood East,Alberta,Canada,35.95839135,-83.58300917104935
Kentwood West,Alberta,Canada,51.03657655,-114.08748709371199
Kingsgate,Alberta,Canada,53.460127549999996,-113.39621921739132
Lancaster Green,Alberta,Canada,50.998656,-114.1304941
Lancaster Meadows,Alberta,Canada,45.3986334,-75.6107363
Laredo,Alberta,Canada,52.816871,-128.74440596746703
Lonsdale,Alberta,Canada,44.2753616,-77.1266681
Maskepetoon Park,Alberta,Canada,53.46058755,-113.5137289
McKenzie Trail Recreation Area,Alberta,Canada,48.1047453,-103.1035193
Michener Hill,Alberta,Canada,40.0787377,-75.1737223
Morrisroe,Alberta,Canada,34.133236249999996,-118.12765995095523
Morrisroe Extension,Alberta,Canada,52.2558,-113.7777
Mountview,Alberta,Canada,55.181499200000005,-118.77918885778664
Normandeau,Alberta,Canada,54.580556,-111.731667
Oriole Park,Alberta,Canada,52.2715866,-113.8464177
Oriole Park West,Alberta,Canada,49.8473909,-119.67407083496933
Parkvale,Alberta,Canada,44.6408571,-63.7132251
Pines,Alberta,Canada,50.9624723,-114.5738719
Queens Business Park,Alberta,Canada,52.2994142,-113.86756874431674
Red Deer College,Alberta,Canada,52.2463626,-113.83431459123666
Red Deer Golf and Country Club,Alberta,Canada,52.2635,-113.84
Riverlands,Alberta,Canada,50.87419,-113.9837266
Riverside Heavy Industrial Park,Alberta,Canada,52.3080066,-113.79329655113683
Riverside Light Industrial Park,Alberta,Canada,25.04456915,-77.3314679919205
Riverside Meadows,Alberta,Canada,30.226784199999997,-97.7007459256202
Rosedale Estates,Alberta,Canada,56.2108919,-117.3034017
Rosedale Meadows,Alberta,Canada,42.357584200000005,-83.35698536292085
South Hill,Alberta,Canada,43.6779261,-79.4057671
Southbrook,Alberta,Canada,52.234571,-113.7913369
Sunnybrook,Alberta,Canada,53.1939082,-114.2000839
Sunnybrook Extension,Alberta,Canada,43.7228,-79.3729
Three Mile Bend Recreation Area,Alberta,Canada,52.3019,-113.7817
Timber Ridge,Alberta,Canada,51.18051235,-114.26397812305729
Timberlands,Alberta,Canada,52.2753058,-113.74931278721974
Timberstone,Alberta,Canada,52.2758062,-113.756136
Vanier Woods,Alberta,Canada,52.231275350000004,-113.75365490034183
Waskasoo,Alberta,Canada,52.21965535,-113.81742504349181
Waste Management Facility,Alberta,Canada,53.264393350000006,-113.47586704925311
West Burnt Lake,Alberta,Canada,67.53166039999999,-133.563333598436
West Park,Alberta,Canada,53.01337635,-112.86735163194915
West QE2,Alberta,Canada,51.0569976,-1.3152342011314975
Westerner Park,Alberta,Canada,52.2270819,-113.8068761428047
